event_id,event_name,event_url,event_date,event_time,event_genre,event_subgenre,min_price,max_price,ticket_limit,venue_id,venue_name,venue_city,venue_address,venue_state,venue_latitude,venue_longitude,venue_market,main_attraction
vvG1bZ9MwOsvtU,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-saint-louis-missouri-08-10-2024/event/06005F7CA0C41A76,2024-08-10,18:30:00,Rock,Pop,39.95,339.95,4.0,KovZpZA6AJeA,The Dome at America's Center,Saint Louis,701 Convention Plaza,Missouri,38.630801,-90.191488,Saint Louis and More,P!NK
vvG17Z9MBX0JyU,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-foxborough-massachusetts-08-21-2024/event/01005F7EBE926E76,2024-08-21,18:30:00,Rock,Pop,59.11,340.0,4.0,KovZpZA6kvlA,Gillette Stadium,Foxborough,1 Patriot Place,Massachusetts,42.090918,-71.264321,Boston,P!NK
k7vGFbCN5nPpg,Return of the Blue and Red Pres. by Connors & Ferris and Ticketmaster,https://www.ticketmaster.com/return-of-the-blue-and-red-orchard-park-new-york-08-02-2024/event/000060E8CBAA55B5,2024-08-02,17:30:00,Football,NFL,,,,KovZpZAdJ1vA,Highmark Stadium,Orchard Park,1 Bills Drive,New York,42.773743,-78.786955,Upstate New York,Buffalo Bills
vvG18Z9Mzzn05q,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-chicago-illinois-08-24-2024/event/04005F7E38AA42DD,2024-08-24,18:30:00,Rock,Pop,49.95,349.95,20.0,KovZpZAF6tIA,Soldier Field,Chicago,1410 S. Museum Campus Drive,Illinois,41.86205404,-87.61682143,Chicagoland and Northern Il,P!NK
vvG1FZ9MMoSUKo,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-philadelphia-pennsylvania-08-18-2024/event/02005F7DD1CF64D1,2024-08-18,18:30:00,Rock,Pop,49.95,319.95,4.0,KovZpa2yme,Lincoln Financial Field,Philadelphia,One Lincoln Financial Way,Pennsylvania,39.900706,-75.167406,Philadelphia,P!NK
k7vGF9z6xPpDI,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-east-rutherford-new-jersey-10-03-2024/event/00005F81E2956EE8,2024-10-03,18:30:00,Rock,Pop,56.0,326.0,4.0,KovZpakS7e,MetLife Stadium,East Rutherford,One MetLife Stadium Drive,New Jersey,40.81359,-74.074493,New York/Tri-State Area,P!NK
vvG1fZ9MD144Ni,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-indianapolis-indiana-10-12-2024/event/05005F7ECA5558EC,2024-10-12,18:30:00,Rock,Pop,49.95,299.95,4.0,KovZpZAdEJEA,Lucas Oil Stadium,Indianapolis,500 S. Capitol Ave.,Indiana,39.76007,-86.163821,Indianapolis and More,P!NK
vvG1YZ9ASfN7Jv,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-arlington-texas-11-06-2024/event/0C005C5CD48C4981,2024-11-06,18:30:00,Rock,Pop,30.0,374.95,4.0,KovZ917A-X0,Globe Life Field,Arlington,734 Stadium Drive,Texas,32.747242,-97.083796,Dallas - Fort Worth and More,P!NK
G5vjZ9MgvYMih,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-las-vegas-nevada-09-13-2024/event/17005F7D41C37B1B,2024-09-13,18:30:00,Rock,Pop,70.0,299.95,4.0,KovZ917Ax7n,Allegiant Stadium,Las Vegas,3333 Al Davis Way,Nevada,36.0909,-115.1833,Las Vegas,P!NK
1AvjZbaGkMZUx3l,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-09-20-2024/event/1700609DC0DA24AB,2024-09-20,20:30:00,Rock,Pop,127.5,318.5,4.0,KovZ917Atbr,Sphere,Las Vegas,255 Sands Avenue,Nevada,36.1207267,-115.1642896,Las Vegas,Eagles
k7vGF9MQsrwdx,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-syracuse-new-york-10-06-2024/event/00005F76B17B20E2,2024-10-06,18:30:00,Rock,Pop,49.95,330.0,4.0,KovZpakwYe,JMA Wireless Dome ,Syracuse,900 Irving Avenue,New York,43.03626312,-76.1361305,Upstate New York,P!NK
vvG1IZ9MV6Cf_5,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-san-diego-california-09-11-2024/event/0A005F7D0739464B,2024-09-11,18:30:00,Rock,Pop,45.95,299.95,,KovZpa4cFe,Petco Park,San Diego,100 Park Blvd,California,32.70709659,-117.15680771,San Diego,P!NK
G5eFZ9MMqasQK,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-orlando-florida-11-18-2024/event/22005F7DDD271693,2024-11-18,18:30:00,Rock,Pop,49.95,299.95,4.0,KovZpZAJFAkA,Camping World Stadium,Orlando,1 Citrus Bowl Place,Florida,28.538255,-81.402071,Orlando,P!NK
vvG18Zb5epIszq,Discover NHL Winter Classic- St. Louis Blues v Chicago Blackhawks,https://www.ticketmaster.com/discover-nhl-winter-classic-st-louis-chicago-illinois-12-31-2024/event/040060B096A31E1D,2024-12-31,16:00:00,Hockey,NHL,125.0,875.05,4.0,KovZpZAFlktA,Wrigley Field,Chicago,1060 West Addison,Illinois,41.947304,-87.656447,Chicagoland and Northern Il,NHL Winter Classic®
vvG1FZ9zk0cfPA,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-hershey-pennsylvania-10-01-2024/event/02005F81A4B54945,2024-10-01,18:30:00,Rock,Pop,49.95,319.95,4.0,KovZpaoU8e,Hersheypark Stadium,Hershey,100 W Hersheypark Dr,Pennsylvania,40.290715,-76.660281,Philadelphia,P!NK
vvG1iZ9MU99saA,P!NK: Summer Carnival 2024,https://www.ticketmaster.com/pnk-summer-carnival-2024-los-angeles-california-09-15-2024/event/0B005F7D975F1245,2024-09-15,18:30:00,Rock,Pop,49.95,299.95,4.0,KovZpa2W1e,Dodger Stadium,Los Angeles,1000 Elysian Park Ave,California,34.07359365,-118.23992227,Los Angeles,P!NK
G5d0Z9YlaQsP_,SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,https://www.ticketmaster.com/shania-twain-come-on-over-the-las-vegas-nevada-08-23-2024/event/39005F0AC96B1959,2024-08-23,20:00:00,Country,Country,100.0,452.0,4.0,KovZpZAJalEA,Bakkt Theater at Planet Hollywood,Las Vegas,3667 S Las Vegas Blvd,Nevada,36.10961689,-115.17247058,Las Vegas,Shania Twain
vv1A7ZkeKGkduOwi0,Imagine Dragons: LOOM WORLD TOUR,https://concerts.livenation.com/imagine-dragons-loom-world-tour-tinley-park-illinois-08-18-2024/event/04006093CD832B24,2024-08-18,19:00:00,Rock,Pop,50.0,229.5,20.0,KovZpZAEktFA,Credit Union 1 Amphitheatre,Tinley Park,19100 S Ridgeland,Illinois,41.5426094,-87.7711753,Chicagoland and Northern Il,Imagine Dragons
vvG1FZbGntEKAq,Philadelphia Eagles Training Camp Practice,https://www.ticketmaster.com/philadelphia-eagles-training-camp-practice-philadelphia-pennsylvania-08-01-2024/event/020060CAA99D315D,2024-08-01,18:30:00,Football,NFL,10.0,10.0,,KovZpa2yme,Lincoln Financial Field,Philadelphia,One Lincoln Financial Way,Pennsylvania,39.900706,-75.167406,Philadelphia,Philadelphia Eagles
vv1AOvO0tGA23Kqd,Imagine Dragons: LOOM WORLD TOUR,https://concerts.livenation.com/imagine-dragons-loom-world-tour-camden-new-jersey-07-30-2024/event/020060929F493743,2024-07-30,19:00:00,Rock,Pop,39.5,179.5,4.0,KovZpZAEAIEA,Freedom Mortgage Pavilion ,Camden,1 Harbour Blvd,New Jersey,39.940917,-75.12875,Philadelphia,Imagine Dragons
G5vYZbadG53zZ,Imagine Dragons: LOOM WORLD TOUR,https://concerts.livenation.com/imagine-dragons-loom-world-tour-mountain-view-california-10-20-2024/event/1C006090CC2D2E00,2024-10-20,19:00:00,Rock,Pop,65.0,259.5,4.0,KovZpZA6ta1A,Shoreline Amphitheatre,Mountain View,One Amphitheatre Parkway,California,37.426718,-122.080722,N. California/N. Nevada,Imagine Dragons
vv1AAZkeoGkdB9Jh9,Imagine Dragons: LOOM WORLD TOUR,https://concerts.livenation.com/imagine-dragons-loom-world-tour-noblesville-indiana-08-20-2024/event/05006091FA5E66D7,2024-08-20,19:00:00,Rock,Pop,45.0,249.5,20.0,KovZpvEk7A,Ruoff Music Center,Noblesville,12880 E. 146th St.,Indiana,40.00373203,-85.93427182,Indianapolis and More,Imagine Dragons
17AYvOG6Gbf3f_C,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-09-21-2024/event/170060C61449464E,2024-09-21,20:30:00,Rock,Pop,127.5,318.5,4.0,KovZ917Atbr,Sphere,Las Vegas,255 Sands Avenue,Nevada,36.1207267,-115.1642896,Las Vegas,Eagles
